Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID
01-06-2020,157,488,542,,
02-06-2020,153,476,516,,
03-06-2020,116,514,496,,
04-06-2020,113,567,481,,
05-06-2020,97,543,469,,
06-06-2020,96,549,456,,
07-06-2020,96,502,443,,
08-06-2020,93,533,400,,
09-06-2020,91,521,346,,
10-06-2020,80,535,333,,
11-06-2020,77,544,297,,
12-06-2020,73,557,279,,
13-06-2020,77,572,289,,
14-06-2020,79,516,277,,
15-06-2020,87,520,281,,
16-06-2020,78,570,280,,
17-06-2020,73,582,289,,
18-06-2020,67,568,261,,
19-06-2020,57,592,235,,
20-06-2020,57,602,220,,
21-06-2020,55,573,221,,
22-06-2020,59,512,194,,
23-06-2020,48,576,211,,
24-06-2020,49,565,197,,
25-06-2020,49,579,178,,
26-06-2020,36,584,190,,
27-06-2020,29,573,180,,
28-06-2020,30,541,178,,
29-06-2020,32,527,157,,
30-06-2020,29,559,160,,
01-07-2020,28,572,150,,
02-07-2020,25,586,125,,
03-07-2020,20,587,103,,
04-07-2020,18,574,75,,
05-07-2020,18,543,87,,
06-07-2020,23,538,81,,
07-07-2020,24,537,79,,
08-07-2020,20,576,74,,
09-07-2020,21,586,70,,
10-07-2020,25,569,69,,
11-07-2020,26,562,77,,
12-07-2020,24,545,83,,
13-07-2020,24,521,94,,
14-07-2020,21,541,94,,
15-07-2020,20,573,85,,
16-07-2020,15,578,80,,
17-07-2020,15,578,73,,
18-07-2020,16,586,78,,
19-07-2020,17,568,73,,
20-07-2020,16,567,81,,
21-07-2020,15,579,90,,
22-07-2020,17,593,85,,
23-07-2020,15,583,91,,
24-07-2020,17,592,74,,
25-07-2020,18,596,91,,
26-07-2020,16,568,67,,
27-07-2020,21,516,70,,
28-07-2020,19,538,77,,
29-07-2020,17,548,63,,
30-07-2020,14,564,66,,
31-07-2020,19,573,73,,
01-08-2020,22,568,67,,
02-08-2020,21,552,70,,
03-08-2020,27,539,82,,
04-08-2020,26,564,83,,
05-08-2020,30,584,88,,
06-08-2020,29,598,79,,
07-08-2020,27,564,78,,
08-08-2020,28,576,79,,
09-08-2020,31,545,87,,
10-08-2020,29,571,99,,
11-08-2020,30,583,97,,
12-08-2020,35,613,117,,
13-08-2020,31,612,127,,
14-08-2020,38,578,120,,
15-08-2020,39,583,124,,
16-08-2020,36,578,122,,
17-08-2020,39,565,126,,
18-08-2020,42,604,129,,
19-08-2020,41,618,125,,
20-08-2020,39,594,138,,
21-08-2020,43,603,133,,
22-08-2020,42,591,131,,
23-08-2020,42,565,129,,
24-08-2020,41,552,121,,
25-08-2020,38,601,120,,
26-08-2020,38,622,120,,
27-08-2020,36,613,107,,
28-08-2020,34,607,100,,
29-08-2020,34,577,96,,
30-08-2020,33,558,94,,
31-08-2020,38,550,94,,
01-09-2020,33,589,93,,
02-09-2020,32,617,90,,
03-09-2020,28,592,95,,
04-09-2020,35,604,95,,
05-09-2020,35,597,99,,
06-09-2020,33,576,105,,
07-09-2020,31,552,109,,
08-09-2020,30,632,116,,
09-09-2020,31,616,122,,
10-09-2020,30,606,131,,
11-09-2020,36,609,136,,
12-09-2020,37,596,138,,
13-09-2020,36,572,148,,
14-09-2020,43,562,166,,
15-09-2020,53,621,187,,
16-09-2020,54,646,191,,
17-09-2020,49,636,212,,
18-09-2020,58,615,230,,
19-09-2020,67,588,260,,
20-09-2020,77,558,276,,
21-09-2020,85,535,325,,
22-09-2020,91,627,329,,
23-09-2020,104,635,371,,
24-09-2020,106,636,395,,
25-09-2020,116,588,431,,
26-09-2020,122,600,433,,
27-09-2020,127,559,490,,
28-09-2020,142,529,518,,
29-09-2020,142,587,551,,
30-09-2020,150,599,551,,
01-10-2020,152,611,539,,
02-10-2020,160,594,573,,
03-10-2020,156,571,585,,
04-10-2020,163,536,647,,
05-10-2020,177,516,715,,
06-10-2020,190,576,785,,
07-10-2020,210,580,811,,
08-10-2020,228,563,842,,
09-10-2020,239,564,900,,
10-10-2020,235,520,955,,
11-10-2020,247,489,986,,
12-10-2020,252,494,1046,,
13-10-2020,277,542,1133,,
14-10-2020,301,527,1174,,
15-10-2020,313,503,1213,,
16-10-2020,345,524,1208,,
17-10-2020,352,492,1216,42,216
18-10-2020,364,460,1288,28,206
19-10-2020,379,445,1359,38,184
20-10-2020,419,480,1440,55,252
21-10-2020,450,456,1493,52,232
22-10-2020,463,460,1540,56,238
23-10-2020,472,476,1601,43,248
24-10-2020,501,431,1614,52,284
25-10-2020,490,419,1657,28,191
26-10-2020,506,431,1743,49,291
27-10-2020,529,456,1829,53,311
28-10-2020,545,462,1831,57,313
29-10-2020,553,470,1831,47,269
30-10-2020,567,447,1818,37,250
